policy,base_model,base_portfolio_size,period,months,bear_months,avg_exposure,total_return,bist100_total_return,excess_return_vs_bist100,max_drawdown,bist100_max_drawdown,win_rate,robustness_score
cash_mode,trend_following,3,train,39,12,1.0,0.05155095984281188,1.2208251837732145,-1.1692742239304026,-0.3531573103501877,-0.24757740982109977,0.38461538461538464,-1.6832811523230857
cash_mode,trend_following,3,validation,24,0,1.0,5.372736297669317,3.2415637612067236,2.1311725364625937,-0.11682135684373118,-0.1617839465479347,0.625,2.210029822775131
cash_mode,trend_following,5,out_of_sample,32,7,1.0,0.18384168981426674,0.590013878393095,-0.4061721885788283,-0.20177780060845352,-0.1675447420399082,0.40625,-0.6066027897957353
cash_mode,trend_following,5,train,39,12,1.0,0.614295407876323,1.2208251837732145,-0.6065297758968915,-0.2550261260289365,-0.24757740982109977,0.41025641025641024,-0.9114538228265594
cash_mode,trend_following,5,validation,24,0,1.0,4.400848646698813,3.2415637612067236,1.159284885492089,-0.10584547903144381,-0.1617839465479347,0.625,1.2600939274292013
cash_mode,trend_following,10,out_of_sample,32,7,1.0,0.2127521038387057,0.590013878393095,-0.37726177455438936,-0.2210924809682221,-0.1675447420399082,0.34375,-0.6475717364908335
cash_mode,trend_following,10,train,39,12,1.0,0.5220945661065388,1.2208251837732145,-0.6987306176666757,-0.23588922913793275,-0.24757740982109977,0.38461538461538464,-0.9782013836348489
cash_mode,trend_following,10,validation,24,0,1.0,3.6895091742606985,3.2415637612067236,0.44794541305397484,-0.1330582257687889,-0.1617839465479347,0.6666666666666666,0.5151622948497303
cash_mode,trend_following,15,out_of_sample,32,7,1.0,0.2955698727559515,0.590013878393095,-0.29444400563714357,-0.2068011377977267,-0.1675447420399082,0.40625,-0.5049212812325969
cash_mode,trend_following,15,train,39,12,1.0,0.3767376220527263,1.2208251837732145,-0.8440875617204882,-0.26426932795552216,-0.24757740982109977,0.38461538461538464,-1.1803185253238402
cash_mode,trend_following,15,validation,24,0,1.0,3.7498770778928723,3.2415637612067236,0.5083133166861487,-0.09860309531173539,-0.1617839465479347,0.6666666666666666,0.6444404593960111
cash_mode,volume_heavy,3,out_of_sample,32,7,1.0,-0.03619079896848576,0.590013878393095,-0.6262046773615808,-0.30985743021656,-0.1675447420399082,0.375,-1.0584195377947008
cash_mode,volume_heavy,3,train,39,12,1.0,0.14740064606487802,1.2208251837732145,-1.0734245377083365,-0.39802872247579735,-0.24757740982109977,0.4358974358974359,-1.651533264711213
